Result	word1	word2	sim_score
Correct	monitor_VBP	check_VBP	0.480897
Correct	monitor_VBP	examine_VBP	0.499688
Correct	monitor_NN	screens_VBZ	0.474407
Correct	hides_NNS	skins_NNS	0.637351
Correct	handle_NN	lever_NN	0.552387
Incorrect	handles_VBZ	uses_VBZ	0.327438
Correct	handles_VBZ	supervises_VBZ	0.470683
Incorrect	watches_VBZ	supervises_VBZ	0.151135
Incorrect	watch_NN	clock_NN	0.186940
Correct	watch_VB	look_VB	0.427574
Incorrect	saw_NN	hammer_NN	0.143253
Incorrect	saw_VBD	looked_VBD	0.223346
Incorrect	book_NN	read_VB	0.140811
Correct	sun_NN	moon_NN	0.431944
Correct	cat_NN	dog_NN	0.499499
Incorrect	host_NN	army_NN	0.041083
