Result	word1	word2	sim_score
Correct	monitor_NEUTRAL	check_NEUTRAL	0.488196
Correct	monitor_NEUTRAL	examine_NEUTRAL	0.453119
Correct	monitor_NEUTRAL	screens_NEUTRAL	0.548552
Incorrect	hides_NEUTRAL	conceals_NEUTRAL	0.059436
Correct	hides_NEUTRAL	skins_NEUTRAL	0.629501
Correct	handle_NEUTRAL	lever_NEUTRAL	0.568913
Correct	handles_NEUTRAL	uses_NEUTRAL	0.515275
Incorrect	handles_NEUTRAL	supervises_NEUTRAL	0.279208
Incorrect	watches_NEUTRAL	supervises_NEUTRAL	-0.044041
Correct	watch_NEUTRAL	time_NEUTRAL	0.406394
Correct	watch_NEUTRAL	look_NEUTRAL	0.428428
Correct	saw_NEUTRAL	looked_NEUTRAL	0.446043
Correct	war_NEGATIVE	army_NEGATIVE	0.685307
Correct	battle_NEGATIVE	army_NEGATIVE	0.911423
Correct	student_POSITIVE	school_POSITIVE	0.762538
