Result	word1	word2	sim_score
Incorrect	monitor	check	0.256445
Incorrect	monitor	examine	0.391908
Correct	monitor	screens	0.512167
Incorrect	hides	conceals	0.193647
Correct	hides	skins	0.633561
Correct	handle	lever	0.465614
Correct	handles	uses	0.544168
Incorrect	handles	supervises	0.391093
Incorrect	watches	supervises	0.150017
Incorrect	watch	time	0.271850
Incorrect	watch	look	0.390352
Incorrect	saw	hammer	0.121039
Incorrect	saw	looked	0.328794
Correct	war	battle	0.511095
Correct	student	school	0.475464
Incorrect	book	read	0.337963
Correct	sun	moon	0.700206
Correct	dog	cat	0.684405
